Time,R1,R2,R3,R4,Ave,SD
53.5,809.3 J,945.224,904.111,965.805,938.38,31.41126647
54,809.941,947.007,903.613,966.854,906.85375,69.79707983
54.5,809.714,948.753,903.445,967.399,907.32775,70.39916276
55,809.629,950.291,903.148,967.799,907.71675,70.86259875
55.5,809.358,951.308,902.868,968.237,907.94275,71.32238431
56,809.324,952.141,902.568,967.982,908.00375,71.44398213
56.5,808.829,953.16,901.989,967.918,907.974,71.88094087
57,808.828,953.92,901.374,967.88,908.0005,72.04917362
57.5,809.761,955.107,901.401,967.635,908.476,71.80748404
58,810.361,955.77,901.032,967.148,908.57775,71.55662319
58.5,810.462,956.243,900.663,967.075,908.61075,71.60829474
59,810.547,956.668,900.283,966.953,908.61275,71.64534849
59.5,810.384,957.633,900.098,967.286,908.85025,72.03401475
60,810.45,958.136,899.953,967.099,908.9095,72.07347696
60.5,810.6 J,959.102,901.034,967.237,942.4576667,36.10380418
61,810.633,959.316,901.603,967.416,909.742,72.27887878
61.5,810.958,959.952,901.91,967.65,910.1175,72.32665586
62,810.878,960.259,902.031,967.733,910.22525,72.45122328
62.5,810.649,960.503,901.9 J,967.693,912.9483333,88.66673122
63,810.385,961.234,901.529,967.518,910.1665,72.8652598
63.5,810.033,961.808,901.323,967.25,910.1035,73.09874585
64,809.949,962.4 J,901.099,967.026,892.6913333,78.87529795
64.5,809.758,962.726,900.783,966.863,910.0325,73.36402223
65,809.497,963.027,900.404,966.741,909.91725,73.53981381
65.5,809.285,963.16,903.901,966.501,910.71175,73.47795877
66,809.396,963.786,906.2 J,966.393,913.1916667,89.89913474
66.5,809.447,964.292,907.855,966.13,911.931,73.48194779
67,809.019,964.459,910.695,965.851,912.506,73.61531119
67.5,809.14,964.347,911.913,965.586,912.7465,73.46115964
68,809.212,964.63,912.783,965.416,913.01025,73.45086695
68.5,809.079,964.791,913.179,965.391,913.11,73.5451844
69,809.12,965.781,913.422,965.077,913.35,73.68534539
69.5,808.861,966.43,913.478,964.933,913.4255,73.92842708
70,809.187,966.818,913.463,965.222,913.6725,73.93478821
70.5,808.942,967.221,914.193,965.416,913.943,74.19184033
71,808.7 J,967.77,914.654,965.578,949.334,30.05375211
71.5,808.473,968.03,914.932,965.442,914.21925,74.61488756
72,808.342,968.6 J,915.174,965.117,896.211,80.08930442
72.5,807.98,968.909,915.713,965.806,914.602,75.14560326
73,807.73,969.476,915.744,965.581,914.63275,75.35015833
73.5,807.442,969.931,915.636,965.595,914.651,75.59962399
74,807.111,970.373,915.475,965.359,914.5795,75.81062519
74.5,806.779,970.296,915.358,965.488,914.48025,75.97701013
75,806.523,970.373,915.376,965.293,914.39125,76.07337155
75.5,806.26,970.364,915.321,964.997,914.2355,76.12933141
76,806.174,970.282,915.329,965.409,914.2985,76.2417316
76.5,806.47,970.142,915.357,965.135,914.276,76.0064691
77,806.58,970.15,915.154,964.84,914.181,75.88979987
77.5,807.188,970.024,915.055,964.501,914.192,75.49571398
78,807.79,970.022,915.173,964.806,914.44775,75.27915211
78.5,807.948,970.169,915.159,965.165,914.61025,75.32085623
79,809.766,970.387,914.967,966.072,915.298,74.72150423
79.5,810.296,970.288,914.844,966.799,915.55675,74.61369717
80,809.93,970.054,914.784,966.633,915.35025,74.69085277
80.5,809.75,970.212,914.918,966.347,915.30675,74.74862807
81,809.445,971.509,915.578,966.071,915.65075,75.14876874
81.5,809.307,974.451,916.127,965.88,916.44125,75.91040195
82,809.076,975.872,916.313,965.678,916.73475,76.33968034
82.5,809.064,976.854,916.647,965.417,916.9955,76.54413069
83,808.937,977.782,916.569,964.949,917.05925,76.74924932
83.5,808.629,978.988,916.707,965.063,917.34675,77.2365256
84,808.458,979.287,916.655,964.754,917.2885,77.33318982
84.5,808.398,979.786,916.948,964.687,917.45475,77.48053881
85,808.032,980.239,917.618,964.604,917.62325,77.75638264
85.5,808.574,980.4 J,917.652,964.312,896.846,79.92651868
86,808.327,980.552,917.701,964.093,917.66825,77.59968525
86.5,808.096,980.555,917.647,963.886,917.546,77.66775904
87,807.777,980.806,917.628,963.662,917.46825,77.84113942
