Time,R1,R2,R3,R4,Ave,SD
0.5,593.403,568.385,596.263,542.154,575.05125,25.25465642
1,813.426,743.737,743.771,681.269,745.55075,53.99274687
1.5,896.215,810.284,802.071,742.004,812.6435,63.48616534
2,967.718,827.991,905.122,823.456,881.07175,68.85522937
2.5,988.915,854.415,956.293,923.231,930.7135,57.50122993
3,998.139,864.322,983.347,982.096,956.976,62.19753566
3.5,1005.13,926.062,1003.08,1007.17,985.3605,39.56758018
4,1004.49,954.423,1022.38,1012.94,998.55825,30.3173023
4.5,1012.08,956.588,1029.71,1022.2,1005.1445,33.16719626
5,1011.88,950.387,1031.55,1028.17,1005.49675,37.73008758
5.5,1021.71,947.986,1041.3,1034.6,1011.399,43.04989931
6,1024,952.623,1042.97,1040.64,1012.077667,51.50242971
6.5,1027.92,954.325,1042.56,1045.24,1017.51125,42.80641587
7,1031.01,954.857,1042.15,1054.41,1020.60675,44.86285979
7.5,1035.25,955.059,1043.2,1054.46,1021.99225,45.31280665
8,1045.67,955.505,1047.98,1054.05,1025.80125,46.99722977
8.5,1056.32,955.583,1048.44,1054.81,1028.78825,48.92282575
9,1061.3,953.847,1054.43,1063.48,1033.26425,53.08509959
9.5,1064.38,954.833,1054.9,1068.48,1035.64825,54.17616874
10,1068.08,957.247,1060.31,1073.47,1039.77675,55.28436502
10.5,1070.85,964.024,1064.06,1075.86,1043.6985,53.33598744
11,1070.16,964.091,1066.78,1074.38,1043.85275,53.26531063
11.5,1070.42,965.091,1067.28,1074.92,1044.42775,52.98402149
12,1073.52,987.392,1067.85,1074.42,1050.7955,42.36893391
12.5,1075.11,993.758,1067.46,1074.18,1052.627,39.39371417
13,1076.49,993.651,1066.41,1072.89,1052.36025,39.36109323
13.5,1075.31,992.63,1066.83,1070.87,1051.41,39.33940518
14,1078.48,994.365,1066.04,1067.88,1051.69125,38.60871369
14.5,1078.14,1011.82,1065.54,1068.39,1055.9725,29.92531078
15,1084.46,1024.66,1064.16,1066.69,1059.9925,25.22742341
15.5,1086.45,1033.93,1062.44,1066.29,1062.2775,21.6334392
16,1087.8,1041.59,1062.59,1067.35,1064.8325,18.96563976
16.5,1087.91,1044.93,1060.93,1067.7,1065.3675,17.80437844
17,1087.19,1053.28,1060.19,1069.73,1067.5975,14.70006207
17.5,1086.3,1056.88,1064.92,1073.48,1070.395,12.58460832
18,1086.88,1060.35,1068.47,1073.58,1072.32,11.1308071
18.5,1086.96,1063.06,1077.41,1076.2,1075.9075,9.824443581
19,1086.57,1066.78,1079.93,1078.93,1078.0525,8.244433981
19.5,1086.32,1068.92,1083.12,1080.21,1079.6425,7.571351156
20,1086,1069.73,1085.28,1082.46,1080.8675,7.580516143
20.5,1085.31,1070.89,1085.13,1083.76,1081.2725,6.956188492
21,1085.39,1069.98,1085.3,1085.47,1081.535,7.703646323
21.5,1084.49,1068.72,1086.14,1086.79,1081.535,8.59800946
22,1083.68,1068.14,1086.19,1086.14,1081.0375,8.677789177
22.5,1083.65,1067.32,1085.52,1086.19,1080.67,8.964667683
23,1082.82,1066.34,1084.5,1086.24,1079.975,9.196613507
23.5,1081.69,1066.16,1084.41,1085.26,1079.38,8.943895497
24,1080.78,1065.19,1084.24,1084.03,1078.56,9.052966365
24.5,1080.41,1063.83,1084.99,1082.79,1078.005,9.633294694
25,1082.28,1063.07,1085.42,1082.02,1078.1975,10.20268061
25.5,1082.47,1062.06,1086.11,1082.45,1078.2725,10.94443656
26,1081.42,1061.3,1086.34,1081.44,1077.625,11.12674106
26.5,1080.51,1060.71,1086.01,1080.56,1076.9475,11.12844516
27,1079.4,1060.24,1085.52,1082.19,1076.8375,11.34428601
27.5,1078.28,1059.7,1084.5,1082.97,1076.3625,11.41918962
28,1080.13,1059.51,1085.74,1082.8,1077.045,11.9124095
28.5,1079.51,1059.12,1084.77,1082.38,1076.445,11.74847082
29,1079.95,1057.77,1083.98,1082.21,1075.9775,12.24986905
29.5,1079.4,1056.74,1083.24,1081.35,1075.1825,12.3945482
30,1078.35,1055.63,1089.39,1083.98,1076.8375,14.83943255
30.5,1078.01,1054.54,1099.41,1085.86,1079.455,18.8155193
31,1077.58,1053.56,1106.93,1087 J/,1079.356667,26.7293216
31.5,1078.38,1054.04,1109.54,1088.91,1082.7175,23.08683951
32,1080.96,1053.74,1112.12,1089.66,1084.12,24.13587648
32.5,1085.39,1052.64,1114.16,1091.08,1085.8175,25.37663279
33,1086.5,1051.75,1117.38,1091.67,1086.825,27.00273628
33.5,1087.07,1050.77,1118.49,1092.51,1087.21,27.89517043
34,1087.09,1049.47,1121.54,1093.01,1087.7775,29.6379412
34.5,1086.84,1048.84,1124.29,1093.39,1088.34,30.98604525
35,1086.26,1048.11,1127.56,1092.87,1088.7,32.56270976
35.5,1086.84,1048.78,1129.65,1092.45,1089.43,33.09531387
36,1087.57,1049.2,1131.73,1091.83,1090.0825,33.74047755
36.5,1088.79,1053.59,1133.77,1091.06,1091.8025,32.81814882
37,1088.72,1057.3,1136.61,1091.23,1093.465,32.64408318
37.5,1088.31,1059.3,1139.91,1090.76,1094.57,33.43347723
38,1089.48,1060.28,1141.21,1090.71,1095.42,33.61057076
38.5,1090.85,1060.02,1142.5,1091.78,1096.2875,34.16045801
39,1091.6,1059.5,1144.25,1093.07,1097.105,35.03985017
39.5,1090.91,1059.27,1145.67,1093.67,1097.38,35.77672055
40,1090.07,1058.25,1146.46,1093.64,1097.105,36.54734144
40.5,1089.42,1057.9,1148.06,1094.69,1097.5175,37.40612639
41,1088.83,1057.18,1148.85,1095.65,1097.6275,38.03967786
41.5,1088.37,1056.93,1150.19,1095.36,1097.7125,38.77248541
42,1088.42,1056.34,1150.31,1094.88,1097.4875,39.03994482
42.5,1088.27,1057.21,1150.88,1094.36,1097.68,39.01978729
43,1089.4,1057.96,1154.12,1093.77,1098.8125,40.17407238
43.5,1091.18,1060.16,1156.57,1093.81,1100.43,40.42589682
44,1091.69,1064.05,1159.92,1094.7,1102.59,40.63300219
44.5,1091.47,1067.27,1161.04,1095.63,1103.8525,40.12324877
45,1092 J/,1068.65,1162.4,1096.72,1109.256667,48.11591871
45.5,1091.55,1069.29,1162.76,1096.91,1105.1275,40.23972861
46,1092.19,1069.74,1163.14,1097.07,1105.535,40.20515431
46.5,1092.15,1071.03,1163.89,1097.05,1106.03,40.19151818
47,1092.62,1071.34,1164.57,1097.12,1106.4125,40.36895951
47.5,1093.37,1072.81,1164.71,1096.77,1106.915,39.95748199
48,1094.03,1074.36,1164.58,1096.44,1107.3525,39.41261843
48.5,1094.57,1079.09,1164.6,1097.07,1108.8325,38.01931823
49,1094.42,1080.7,1164.82,1097.32,1109.315,37.70660552
49.5,1094.03,1080.99,1164.95,1097.14,1109.2775,37.76866018
50,1093.95,1080.75,1164.75,1097.42,1109.2175,37.71177833
50.5,1094.07,1081.08,1166.03,1097.79,1109.7425,38.20257877
51,1093.74,1080.92,1166.07,1098.45,1109.795,38.24096102
51.5,1093.42,1080.59,1166.19,1098.39,1109.6475,38.43373377
52,1093.9,1080.04,1166.43,1097.87,1109.56,38.6760865
52.5,1094.24,1079.57,1166.29,1097.61,1109.4275,38.70886064
53,1093.73,1078.74,1165.98,1097.91,1109.09,38.80943442
53.5,1093.16,1078.01,1166.03,1098.33,1108.8825,39.06191784
54,1092.98,1077.78,1166.19,1098.77,1108.93,39.18612935
54.5,1092.57,1077.54,1167.25,1098.53,1108.9725,39.84284492
55,1093.13,1077.25,1167.63,1098.23,1109.06,40.05568957
55.5,1093.65,1077.48,1167.77,1098.11,1109.2525,40.00576156
56,1093.49,1077.45,1167.94,1098.38,1109.315,40.09269967
56.5,1093.12,1077.83,1168.12,1098.94,1109.5025,40.07955121
57,1093.3,1078.68,1167.91,1098.95,1109.71,39.72894243
57.5,1092.79,1079 J/,1167.91,1099.36,1120.02,41.60384958
58,1092.46,1079.21,1168.2,1100.14,1110.0025,39.74978103
58.5,1092.05,1079 J/,1168.75,1100.55,1120.45,42.04438131
59,1091.76,1079.33,1169.64,1100.8,1110.3825,40.47357523
59.5,1091.27,1080.08,1170.27,1100.83,1110.6125,40.66563035
60,1090.79,1081.16,1170.62,1100.65,1110.805,40.66277782
60.5,1090.56,1082.23,1170.8,1100.53,1111.03,40.54283249
61,1090.23,1082.02,1170.75,1100.38,1110.845,40.6365357
61.5,1089.86,1081.73,1170.83,1099.99,1110.6025,40.84054144
62,1089.77,1081.22,1170.9,1099.56,1110.3625,41.04801772
62.5,1089.62,1081.34,1171.04,1099.36,1110.34,41.13137002
63,1090.12,1080.95,1171.33,1099.13,1110.3825,41.30398478
63.5,1089.63,1080.56,1171.6,1098.84,1110.1575,41.63594951
64,1089.38,1079.99,1171.55,1098.47,1109.8475,41.82118632
64.5,1088.84,1079.56,1171.33,1098.19,1109.48,41.92891842
65,1088.37,1079.15,1171.5,1098.44,1109.365,42.16574479
65.5,1087.95,1078.75,1172.05,1098.62,1109.3425,42.58615845
66,1087.53,1078.24,1173.14,1098.7,1109.4025,43.30712057
66.5,1087.26,1078.04,1174.1,1098.44,1109.46,43.89315209
