Time,R1,R2,R3,R4,Ave,SD
47,527.5,502.496,556.901,538.635,531.383,22.75445953
47.5,527.386,502.305,556.994,538.334,531.25475,22.84498503
48,527.161,502.101,557.533,538.147,531.2355,23.12825097
48.5,526.895,501.976,557.717,537.815,531.10075,23.23392141
49,526.834,502.006,558.181,537.627,531.162,23.3853694
49.5,526.855,502.305,558.629,537.73,531.37975,23.44256635
50,526.785,502.452,558.428,537.659,531.331,23.3020296
50.5,526.812,502.681,558.141,537.507,531.28525,23.08068864
51,526.822,502.683,558.095,537.196,531.199,23.03388236
51.5,526.934,503.624,557.974,537.002,531.3835,22.57587298
52,526.782,503.494,557.97,536.831,531.26925,22.62346156
52.5,526.695,503.6,557.667,536.61,531.143,22.4485502
53,526.631,503.584,557.417,536.661,531.07325,22.36521529
53.5,526.536,503.859,557.166,536.496,531.01425,22.14667723
54,526.326,505.023,556.876,536.354,531.14475,21.56231038
54.5,526.11,505.935,556.512,536.226,531.19575,21.05695667
55,525.926,506.57,556.191,536.005,531.173,20.67274507
55.5,525.886,507.378,556.004,536.019,531.32175,20.28240752
56,525.813,507.537,555.786,535.854,531.2475,20.12526956
56.5,525.606,507.948,555.479,535.686,531.17975,19.84557664
57,525.393,508.102,555.135,535.664,531.0735,19.66372604
57.5,525.511,508.251,555,535.694,531.114,19.5416459
58,525.341,508.297,554.933,535.535,531.0265,19.50044782
58.5,525.177,508.489,554.944,535.368,530.9945,19.43404992
59,524.92,508.333,554.668,535.419,530.835,19.41092625
59.5,524.74,508.43,554.64,535.322,530.783,19.37294873
60,524.62,508.799,554.481,535.268,530.792,19.1745398
60.5,524.47,508.739,554.461,535.27,530.735,19.20558549
61,524.347,509.251,554.28,535.212,530.7725,18.94530486
61.5,524.159,509.746,554.125,535.154,530.796,18.71173138
62,524.155,510.23,554.017,535.341,530.93575,18.50096378
62.5,524.112,510.341,553.786,535.393,530.908,18.37303472
63,524.149,510.437,553.679,535.219,530.871,18.2742406
63.5,524.115,510.569,553.403,535.06,530.78675,18.10179635
64,524.159,510.703,553.274,534.973,530.77725,17.98596513
64.5,523.943,510.785,553.199,534.909,530.709,17.94607322
65,524.04,510.838,553.059,534.762,530.67475,17.84448392
65.5,524.148,510.818,552.882,534.738,530.6465,17.76286151
66,524.117,510.831,552.85,534.617,530.60375,17.73923507
66.5,524.169,510.91,552.755,534.736,530.6425,17.67292804
67,524.1,511.31,552.74,534.588,530.6845,17.51579557
67.5,523.981,511.689,552.536,534.575,530.69525,17.30500422
68,524.038,511.847,552.358,534.404,530.66175,17.15226497
68.5,523.912,512.104,552.226,535.223,530.86625,17.08414283
69,523.748,511.928,552.103,535.505,530.821,17.14483555
69.5,524.152,511.784,551.918,535.331,530.79625,17.0519206
70,524.65,511.563,551.776,535.249,530.8095,17.00657211
70.5,524.485,511.471,551.493,535.159,530.652,16.937168
71,524.375,511.465,551.311,535.072,530.55575,16.87044084
71.5,524.4,512.26,551.133,534.934,530.68175,16.48389631
72,524.318,512.089,551.001,534.833,530.56025,16.49478114
72.5,524.215,512.005,550.875,534.745,530.46,16.47948725
73,524.131,513.243,550.773,534.82,530.74175,15.99782659
73.5,523.918,513.139,550.627,535.205,530.72225,16.03914606
74,523.855,513.127,550.583,535.251,530.704,16.03859491
74.5,523.854,513.157,550.361,535.258,530.6575,15.93682972
75,523.832,513.065,550.118,535.436,530.61275,15.89151366
75.5,523.733,513.106,549.961,535.539,530.58475,15.83705398
76,523.562,513.472,549.759,535.67,530.61575,15.65964045
76.5,523.358,513.318,549.692,535.549,530.47925,15.70618594
77,523.38,513.127,549.564,535.592,530.41575,15.72526308
77.5,523.231,513.053,549.467,535.855,530.4015,15.76515646
78,523.181,512.922,549.437,536.064,530.401,15.83332673
78.5,523.183,512.805,549.442,536.062,530.373,15.87789035
79,523.008,512.699,549.301,535.89,530.2245,15.86644011
79.5,522.929,512.614,549.103,535.867,530.12825,15.82774508
80,522.765,512.49,548.968,536.403,530.1565,15.91258191
80.5,523.044,512.416,549.143,536.488,530.27275,15.97742172
81,523.993,512.286,549.123,536.381,530.44575,15.86906175
81.5,524.14,512.204,548.974,536.453,530.44275,15.83147699
82,524.007,512.179,548.79,536.531,530.37675,15.79719795
82.5,523.884,512.147,548.662,536.479,530.293,15.76958416
83,523.768,512.107,548.582,536.45,530.22675,15.76583685
83.5,523.728,512.025,548.501,536.346,530.15,15.75761537
84,523.59,511.866,548.295,536.372,530.03075,15.76108798
84.5,523.4,511.667,548.246,536.263,529.894,15.82988345
85,523.202,511.483,548.038,536.234,529.73925,15.84353002
85.5,523.013,511.525,547.998,536.073,529.65225,15.81633551
86,522.888,511.441,547.851,535.998,529.5445,15.79895892
86.5,522.756,511.315,547.797,535.787,529.41375,15.81615822
87,522.668,511.52,547.822,535.657,529.41675,15.74307504
87.5,522.777,511.688,547.811,535.799,529.51875,15.6783799
88,522.585,511.621,547.767,535.73,529.42575,15.70509474
88.5,522.572,511.623,547.568,535.653,529.354,15.61848352
89,522.576,511.52,547.492,535.647,529.30875,15.62661771
89.5,522.607,511.464,547.679,535.953,529.42575,15.75760073
90,522.53,511.337,547.565,536.002,529.3585,15.7798987
90.5,522.441,511.647,547.492,536.045,529.40625,15.65325337
91,522.348,512.041,547.441,536.347,529.54425,15.54263859
91.5,522.087,511.966,547.301,536.522,529.469,15.58390159
92,522.001,512.121,547.108,536.778,529.502,15.5056503
92.5,521.902,512.289,547.064,536.981,529.559,15.47464225
93,521.829,512.336,547.104,537.314,529.64575,15.53835659
93.5,521.891,512.413,546.971,537.415,529.6725,15.46637741
94,521.789,512.489,546.859,537.366,529.62575,15.40540194
94.5,521.752,512.757,546.698,537.307,529.6285,15.2426371
95,521.637,514.934,546.995,537.205,530.19275,14.57758056
95.5,521.459,515.78,547.249,537.162,530.4125,14.41409843
96,521.355,515.78,547.19,537.235,530.39,14.42425446
96.5,521.299,516.338,547.216,537.118,530.49275,14.24128991
97,521.327,516.235,547.103,537.075,530.435,14.21862028
97.5,521.199,516.102,547.008,536.982,530.32275,14.23862965
98,521.057,515.975,546.87,537.033,530.23375,14.26556818
98.5,521.353,515.905,546.8,537.078,530.284,14.20627906
99,521.541,515.866,546.751,536.946,530.276,14.1405192
99.5,521.714,515.672,547.006,536.812,530.301,14.25008019
100,521.893,515.645,547.062,537.022,530.4055,14.27762913
100.5,522.335,515.567,547.045,536.87,530.45425,14.18881328
101,522.526,515.449,546.874,536.844,530.42325,14.12383242
101.5,522.733,515.315,546.774,536.899,530.43025,14.1029705
102,523.311,515.266,546.643,536.795,530.50375,13.95205952
102.5,523.516,515.479,546.49,536.822,530.57675,13.78442259
103,523.604,515.471,546.321,536.609,530.50125,13.6753985
103.5,523.656,515.471,546.266,536.56,530.48825,13.63819368
104,523.683,515.319,546.126,536.413,530.38525,13.613927
104.5,523.71,515.288,545.924,536.29,530.303,13.52500997
105,523.8,515.406,545.818,536.193,530.30425,13.41164838
105.5,523.816,515.504,545.721,536.197,530.3095,13.33598342
106,523.851,515.785,545.578,536.093,530.32675,13.1560898
106.5,523.908,516.187,545.803,536,530.4745,13.07345454
107,523.995,516.786,545.818,535.871,530.6175,12.82994363
107.5,524.011,517.135,546.006,535.815,530.74175,12.76951885
108,524.008,517.215,546.119,535.862,530.801,12.79295496
108.5,524.046,517.291,546.195,535.808,530.835,12.78268081
109,524.116,517.308,546.228,535.71,530.8405,12.76498653
109.5,524.247,517.314,546.266,535.692,530.87975,12.75300468
110,524.33,517.319,546.187,535.612,530.862,12.69511715
110.5,524.415,517.408,546.162,535.477,530.8655,12.6222304
111,524.379,517.74,546.195,535.511,530.95625,12.52856377
111.5,524.596,517.774,546.164,535.576,531.0275,12.47426603
112,524.901,517.821,546.062,535.439,531.05575,12.34827889
112.5,524.982,517.736,546.046,535.373,531.03425,12.35112104
113,524.927,517.754,546.1,535.343,531.031,12.37208754
113.5,524.846,518.567,546.031,535.277,531.18025,12.06295893
114,524.823,519.396,546.005,535.253,531.36925,11.76861358
114.5,524.817,519.67,545.845,535.18,531.378,11.60277665
115,525.229,520.046,545.757,535.188,531.555,11.36325731
115.5,525.262,520.657,545.614,535.143,531.669,11.08821437
116,529.243,522.233,545.623,535.091,533.0475,9.895229878
116.5,529.305,522.951,545.465,535.086,533.20175,9.560338815
117,529.296,524.207,545.392,535.033,533.482,9.08848946
117.5,529.304,524.633,545.26,535.053,533.5625,8.88676711
118,529.448,524.809,545.177,535.113,533.63675,8.771763045
118.5,529.383,525.217,545.061,535.18,533.71025,8.599613921
119,529.366,525.32,544.893,535.182,533.69025,8.49484449
119.5,529.328,525.369,544.836,535.122,533.66375,8.456698898
120,529.296,525.41,544.798,535.048,533.638,8.42786347
120.5,529.214,525.448,544.735,534.945,533.5855,8.396199716
121,529.116,525.46,544.843,534.862,533.57025,8.453007527
121.5,529.047,525.482,544.755,534.748,533.508,8.413279305
122,528.92,525.437,544.819,534.619,533.44875,8.472500315
122.5,528.831,525.411,544.7,534.532,533.3685,8.439339172
123,528.717,525.371,544.769,534.423,533.32,8.498439465
123.5,528.678,525.302,544.71,534.301,533.24775,8.495294163
124,528.647,525.261,544.951,534.269,533.282,8.620893148
124.5,528.704,525.191,544.864,534.136,533.22375,8.588380382
125,528.688,525.16,544.748,534.086,533.1705,8.546686746
125.5,528.705,525.145,544.645,534.086,533.14525,8.501942538
126,528.786,525.303,544.557,534.046,533.173,8.397226804
126.5,528.696,525.32,544.432,534.014,533.1155,8.350095309
127,528.73,525.606,544.284,534.024,533.161,8.188969899
127.5,528.643,525.68,544.214,533.929,533.1165,8.147154861
128,528.582,525.751,544.161,533.939,533.10825,8.113147658
128.5,528.665,525.793,544.179,533.913,533.1375,8.092405061
129,528.989,525.839,544.126,534.011,533.24125,7.998858934
129.5,529.034,525.767,544.213,534.458,533.368,8.069714617
130,528.963,525.83,544.248,534.787,533.457,8.094890281
130.5,528.978,525.852,544.111,535.007,533.487,8.037497164
131,529.007,525.856,544.157,535.267,533.57175,8.068273891
131.5,528.882,525.81,543.985,535.494,533.54275,8.049140218
