Time,R1,R2,R3,R4,Average,SD
231.5,472.132,475.156,468.107,471.535,471.7325,2.890398415
232,472.095,475.154,468.091,471.52,471.715,2.894968163
232.5,472.025,475.119,468.077,471.487,471.677,2.884704953
233,471.946,475.092,468.142,471.468,471.662,2.844503003
233.5,471.955,475.231,468.095,471.401,471.6705,2.922038729
234,471.906,475.29,468.061,471.377,471.6585,2.959183277
234.5,471.855,475.258,468.055,471.355,471.63075,2.947838573
235,471.876,475.331,468.087,471.348,471.6605,2.965724701
235.5,471.785,475.251,468.054,471.281,471.59275,2.946166591
236,471.794,475.288,468.02,471.287,471.59725,2.975080881
236.5,471.702,475.279,468.045,471.223,471.56225,2.961975622
237,471.718,475.29,468.07,471.236,471.5785,2.956437665
237.5,471.692,475.255,468.045,471.124,471.529,2.955893886
238,471.633,475.347,468.003,471.208,471.54775,3.006784038
238.5,471.664,475.277,468.061,471.191,471.54825,2.955532369
239,471.605,475.259,467.969,471.169,471.5005,2.984327227
239.5,471.521,475.219,468.111,471.104,471.48875,2.913933925
240,471.531,475.206,468.18,471.149,471.5165,2.879809542
240.5,471.473,475.201,468.119,471.145,471.4845,2.901399375
241,471.496,475.178,468.265,471.137,471.519,2.8356804
241.5,471.485,475.21,468.319,471.11,471.531,2.830273367
242,471.476,475.153,468.25,471.13,471.50225,2.831040136
242.5,471.301,475.119,468.315,471.034,471.44225,2.797904141
243,471.415,475.069,468.273,471.064,471.45525,2.789301033
243.5,471.404,475.048,468.375,471.131,471.4895,2.738543713
244,471.373,475.031,468.327,471.175,471.4765,2.74805598
244.5,471.321,475.027,468.275,471.148,471.44275,2.767862518
245,471.358,475.038,468.315,471.112,471.45575,2.758293237
245.5,471.273,475.027,468.337,471.205,471.4605,2.743271222
246,471.28,475.003,468.339,471.178,471.45,2.73282601
246.5,471.303,475.052,468.308,471.159,471.4555,2.76602826
247,471.217,475.027,468.347,471.16,471.43775,2.742342475
247.5,471.22,475.089,468.308,471.09,471.42675,2.786564357
248,471.133,475.076,468.518,471.015,471.4355,2.710065989
248.5,471.129,475.071,468.484,470.979,471.41575,2.722069479
249,470.96,475.012,468.502,470.919,471.34825,2.69933305
249.5,470.995,475.062,468.486,470.938,471.37025,2.724920106
250,471.004,475.067,468.547,470.852,471.3675,2.710436189
