Time,R1,R2,R3,R4,Average,SD
47,467.574,471.217,466.61,471.309,469.1775,2.440363429
47.5,467.78,471.268,466.736,471.541,469.33125,2.434179858
48,467.815,471.103,467.111,471.665,469.4235,2.293466881
48.5,468.283,471.133,467.639,471.836,469.72275,2.071193275
49,468.209,471.299,467.722,471.998,469.807,2.154636396
49.5,468.129,471.274,467.829,472.253,469.87125,2.224609385
50,468.082,471.174,468.154,472.505,469.97875,2.216448717
50.5,468.029,471.008,468.268,472.829,470.0335,2.302135313
51,468.284,470.977,468.363,472.867,470.12275,2.216481653
51.5,468.749,470.931,468.376,472.912,470.242,2.106705643
52,468.806,470.881,468.333,472.733,470.18825,2.025522381
52.5,468.849,470.736,468.083,472.779,470.11175,2.098751593
53,468.916,470.68,467.882,472.853,470.08275,2.178347902
53.5,468.945,470.832,468.009,472.727,470.12825,2.092850269
54,468.778,470.82,468.025,472.612,470.05875,2.071637577
54.5,468.733,470.828,468.248,472.563,470.093,1.99120985
55,468.681,470.925,468.111,472.341,470.0145,1.970037817
55.5,468.593,470.892,468.125,472.243,469.96325,1.942213921
56,468.506,471.007,468.029,472.113,469.91375,1.963495077
56.5,468.389,470.895,468.132,472.076,469.873,1.926225151
57,468.282,470.726,468.044,472.266,469.8295,2.026738842
57.5,468.199,470.766,468.177,472.36,469.8755,2.05436811
58,468.208,470.667,468.181,472.415,469.86775,2.059706998
58.5,468.183,470.699,468.255,472.413,469.8875,2.049964146
59,468.265,470.945,468.33,472.433,469.99325,2.050321662
59.5,468.319,471.196,468.324,472.322,470.04025,2.037184065
60,468.346,471.069,468.331,472.182,469.982,1.951398302
60.5,468.401,471.157,468.285,472.126,469.99225,1.945619931
61,468.408,471.263,468.366,471.982,470.00475,1.891015843
61.5,468.458,471.132,468.34,472.012,469.9855,1.867448437
62,468.309,471.034,468.326,472.129,469.9495,1.936780232
62.5,468.162,470.825,468.34,472.381,469.927,2.038162081
63,468.067,470.784,468.29,472.385,469.8815,2.074230861
63.5,468.505,470.68,468.385,472.315,469.97125,1.885167433
64,468.645,470.558,468.394,472.218,469.95375,1.792353458
64.5,468.557,470.41,468.565,472.217,469.93725,1.752038123
65,468.584,470.305,468.608,472.126,469.90575,1.685238732
65.5,468.624,470.174,468.631,472.05,469.86975,1.626084536
66,468.577,470.074,468.866,471.985,469.8755,1.548610668
66.5,468.744,470.016,468.964,471.992,469.929,1.483125978
67,468.871,470.015,469.144,471.978,470.002,1.404762139
67.5,468.958,469.958,469.119,471.915,469.9875,1.3577296
68,468.999,470.158,469.023,472.301,470.12025,1.551155994
68.5,469.066,469.942,469,472.319,470.08175,1.552068378
69,469.055,469.839,469.011,472.164,470.01725,1.480852542
69.5,469.122,469.795,468.869,472.097,469.97075,1.470380535
70,469.174,469.818,468.816,471.917,469.93125,1.387232106
70.5,469.519,470.266,468.688,472.059,470.133,1.436684377
71,469.691,470.226,468.76,472.057,470.1835,1.388130277
71.5,469.764,470.181,468.615,472.158,470.1795,1.475891256
72,469.748,470.105,468.526,472.084,470.11575,1.476106224
72.5,469.926,470.226,468.976,472.181,470.32725,1.345798245
73,470.108,470.374,468.934,472.157,470.39325,1.331911252
73.5,470.089,470.219,469.203,472.162,470.41825,1.247076949
74,470.612,470.144,469.197,472.074,470.50675,1.199219573
74.5,471.019,470.194,469.062,471.977,470.563,1.237806393
75,471.05,470.171,468.993,471.956,470.5425,1.2641863
75.5,471.136,469.985,469.007,471.934,470.5155,1.285063552
76,471.234,469.918,469.06,471.957,470.54225,1.299588236
76.5,471.203,469.891,469.062,471.915,470.51775,1.282432422
77,471.162,469.779,469.086,471.926,470.48825,1.289755112
77.5,471.025,469.64,469.102,471.734,470.37525,1.215200224
78,471.038,469.659,469.164,471.78,470.41025,1.20938011
78.5,471.107,469.823,469.146,471.807,470.47075,1.206222858
79,471.159,469.833,469.104,471.731,470.45675,1.202201418
79.5,471.108,469.759,469.185,471.75,470.4505,1.183310188
80,471.177,469.759,469.227,471.804,470.49175,1.20112208
80.5,471.171,469.738,469.449,471.781,470.53475,1.121251793
81,471.315,469.803,469.426,471.785,470.58225,1.144213667
81.5,471.329,469.904,469.368,471.825,470.6065,1.159617322
82,471.462,469.864,469.345,471.75,470.60525,1.180699616
82.5,471.288,469.845,469.354,471.756,470.56075,1.143978256
83,471.28,469.849,469.398,471.792,470.57975,1.138775475
83.5,471.248,469.767,469.514,471.773,470.5755,1.105549185
84,471.192,469.786,469.493,471.808,470.56975,1.109671535
84.5,471.364,469.708,469.494,471.939,470.62625,1.210063463
85,471.376,469.617,469.606,471.956,470.63875,1.209577164
85.5,471.355,469.636,469.685,471.885,470.64025,1.151996926
86,471.308,469.552,469.554,471.899,470.57825,1.208193245
86.5,471.224,469.502,469.507,471.9,470.53325,1.219536353
87,471.132,469.422,471.587,471.99,471.03275,1.12958499
87.5,471.111,469.445,471.552,471.905,471.00325,1.088428952
88,471.063,469.673,471.617,471.835,471.047,0.971935526
88.5,471.023,469.696,471.632,471.761,471.028,0.944519984
89,471.114,469.854,471.944,471.813,471.18125,0.956906605
89.5,470.994,469.924,472.098,471.823,471.20975,0.977200892
90,471.002,469.786,472.201,471.741,471.1825,1.053890728
90.5,470.994,469.797,472.261,471.722,471.1935,1.065970763
91,470.924,469.769,472.326,471.703,471.1805,1.10201346
91.5,470.91,469.74,472.601,471.679,471.2325,1.211571569
92,470.853,469.788,472.528,471.574,471.18575,1.157122977
92.5,470.82,469.877,472.6,471.594,471.22275,1.155839486
93,470.803,469.905,472.639,471.576,471.23075,1.160883105
93.5,470.825,469.821,472.619,471.439,471.176,1.170561689
94,470.859,470.061,472.724,471.39,471.2585,1.119313629
94.5,470.824,470.066,472.668,471.32,471.2195,1.094719903
95,470.817,470.105,472.641,471.316,471.21975,1.069905097
95.5,470.733,470.084,472.683,471.37,471.2175,1.10913014
96,470.743,469.982,472.739,471.361,471.20625,1.16714163
96.5,470.638,469.901,472.657,471.347,471.13575,1.173483525
97,470.538,469.93,472.58,471.349,471.09925,1.14559195
97.5,470.46,469.937,472.655,471.366,471.1045,1.19035975
98,470.395,469.92,472.678,471.255,471.062,1.210751557
98.5,470.443,470.014,472.635,471.234,471.0815,1.152368141
99,470.378,470.128,472.637,471.213,471.089,1.131477206
99.5,470.508,470.317,472.675,471.228,471.182,1.069838929
100,470.502,470.413,472.578,471.262,471.18875,1.001464719
100.5,470.624,470.604,472.567,471.247,471.2605,0.920733222
101,470.442,470.529,472.532,471.249,471.188,0.966239101
101.5,470.491,470.718,472.466,471.207,471.2205,0.882445277
102,470.365,470.683,472.462,471.188,471.1745,0.922803879
102.5,470.331,470.609,472.389,471.134,471.11575,0.911797995
103,470.206,470.717,472.401,471.11,471.1085,0.937787645
103.5,470.137,470.802,472.373,471.106,471.1045,0.937489022
104,470.094,470.912,472.337,471.093,471.109,0.9268718
104.5,470.073,470.867,472.289,471.118,471.08675,0.916944337
105,470.06,470.826,472.257,471.126,471.06725,0.91135627
105.5,469.96,470.783,472.168,471.068,470.99475,0.912400999
106,469.847,470.902,472.137,471.003,470.97225,0.936075273
106.5,469.817,470.999,472.081,471.024,470.98025,0.925034549
107,469.791,470.996,472.127,471.339,471.06325,0.971381276
107.5,469.694,470.957,472.086,471.745,471.1205,1.062045981
108,469.513,470.834,472.011,472.204,471.1405,1.242511033
108.5,469.533,470.827,471.988,472.095,471.11075,1.198349525
109,469.53,472.448,471.903,471.999,471.47,1.31496692
109.5,469.589,472.461,471.956,472.053,471.51475,1.302346184
110,469.523,472.49,471.894,472.16,471.51675,1.351337948
110.5,469.514,472.469,471.857,472.117,471.48925,1.340501492
111,469.548,472.413,471.798,472.129,471.472,1.307055469
111.5,469.691,472.331,471.755,472.075,471.463,1.204604499
112,469.634,472.276,471.646,472.084,471.41,1.212999588
112.5,469.61,472.298,471.643,472.037,471.397,1.221377092
113,469.754,472.373,471.526,472.054,471.42675,1.168585291
113.5,469.839,472.404,471.511,472.219,471.49325,1.168052047
114,469.825,472.432,471.383,472.218,471.4645,1.182993519
114.5,469.764,472.452,471.463,472.171,471.4625,1.206369899
115,469.729,472.469,471.454,472.193,471.46125,1.231768478
115.5,469.792,472.399,471.377,472.172,471.435,1.1797285
116,469.714,472.335,471.321,472.484,471.4635,1.275668322
116.5,469.741,472.387,471.251,472.517,471.474,1.287689921
117,469.748,472.346,471.262,472.573,471.48225,1.289952551
117.5,469.753,472.258,471.234,472.645,471.4725,1.291682236
118,469.632,472.252,471.237,472.668,471.44725,1.351195859
118.5,469.636,472.161,471.367,472.646,471.4525,1.320782218
119,469.663,472.112,471.326,472.664,471.44125,1.306455606
119.5,469.584,472.031,471.311,472.714,471.41,1.345379005
120,469.662,472.203,471.255,472.726,471.4615,1.345315948
120.5,469.613,472.34,471.252,472.742,471.48675,1.398777413
121,469.475,472.408,471.134,472.741,471.4395,1.481495303
121.5,469.487,472.38,471.168,472.718,471.43825,1.461171305
122,469.522,472.432,471.203,472.743,471.475,1.461946875
122.5,469.51,472.421,471.13,472.748,471.45225,1.471238112
123,469.461,472.446,471.213,472.753,471.46825,1.494521412
123.5,469.532,472.498,471.203,472.742,471.49375,1.47191992
124,469.451,472.445,471.179,472.734,471.45225,1.495337504
124.5,469.361,472.398,471.121,472.697,471.39425,1.518051684
125,469.337,472.361,471.066,472.703,471.36675,1.52582576
125.5,469.28,472.351,471.071,472.701,471.35075,1.548110757
126,469.21,472.29,471.035,472.795,471.3325,1.596791053
126.5,469.179,472.322,470.966,472.763,471.3075,1.611916561
127,469.178,472.268,470.947,472.701,471.2735,1.583720198
127.5,469.13,472.281,471.232,472.656,471.32475,1.58242122
128,469.025,472.342,471.227,472.689,471.32075,1.652706543
128.5,469.043,472.345,471.191,472.723,471.3255,1.65532303
129,468.981,472.352,471.108,472.691,471.283,1.678794607
129.5,469.058,472.325,471.036,472.636,471.26375,1.625476827
